Date,Open,High,Low,Close,Adj Close,Volume
2023-09-05,0.019625,0.019627,0.017803,0.017904,0.017904,490084
2023-09-06,0.017905,0.017964,0.016488,0.016855,0.016855,505307
2023-09-07,0.016850,0.021129,0.016608,0.020844,0.020844,634477
2023-09-08,0.020839,0.020960,0.016353,0.016485,0.016485,467864
2023-09-09,0.016484,0.017082,0.016462,0.016791,0.016791,514108
2023-09-10,0.016791,0.016801,0.016368,0.016371,0.016371,604974
2023-09-11,0.016371,0.019133,0.015369,0.016762,0.016762,379693
2023-09-12,0.016763,0.017337,0.016719,0.016720,0.016720,304052
2023-09-13,0.016720,0.017674,0.016208,0.016209,0.016209,265311
2023-09-14,0.016208,0.016862,0.016208,0.016765,0.016765,341040
2023-09-15,0.016765,0.017059,0.016669,0.016965,0.016965,332594
2023-09-16,0.016963,0.016968,0.015142,0.015187,0.015187,363427
2023-09-17,0.015187,0.015191,0.014393,0.014545,0.014545,335218
2023-09-18,0.014544,0.015123,0.014542,0.014833,0.014833,335951
2023-09-19,0.014833,0.014966,0.014314,0.014501,0.014501,382958
2023-09-20,0.014500,0.015364,0.014227,0.015364,0.015364,370560
2023-09-21,0.015364,0.017599,0.015364,0.016319,0.016319,356058
2023-09-22,0.016318,0.016412,0.015334,0.015338,0.015338,302992
2023-09-23,0.015338,0.015344,0.014487,0.014745,0.014745,330290
2023-09-24,0.014745,0.014987,0.014659,0.014744,0.014744,329328
2023-09-25,0.014742,0.014797,0.014342,0.014371,0.014371,359443
2023-09-26,0.014371,0.014487,0.014028,0.014099,0.014099,356592
2023-09-27,0.014097,0.015259,0.014068,0.014828,0.014828,367519
2023-09-28,0.014829,0.014967,0.014042,0.014110,0.014110,366308
2023-09-29,0.014108,0.014445,0.013400,0.013446,0.013446,358597
2023-09-30,0.013445,0.013451,0.012954,0.012960,0.012960,327895
2023-10-01,0.012959,0.013158,0.011634,0.012675,0.012675,354802
2023-10-02,0.012675,0.012678,0.012071,0.012184,0.012184,356544
2023-10-03,0.012182,0.013902,0.011496,0.013887,0.013887,387381
2023-10-04,0.013888,0.013888,0.012340,0.012531,0.012531,317015
2023-10-05,0.012533,0.012583,0.011407,0.011410,0.011410,296093
2023-10-06,0.011410,0.013026,0.011381,0.012835,0.012835,418102
2023-10-07,0.012835,0.014488,0.012041,0.012142,0.012142,318327
2023-10-08,0.012145,0.012336,0.012007,0.012064,0.012064,342191
2023-10-09,0.012064,0.012065,0.011465,0.011593,0.011593,245373
2023-10-10,0.011603,0.011756,0.011163,0.011263,0.011263,326404
2023-10-11,0.011262,0.011463,0.011074,0.011222,0.011222,340340
2023-10-12,0.011223,0.011273,0.010997,0.011097,0.011097,266879
2023-10-13,0.011099,0.011220,0.010881,0.011037,0.011037,307410
2023-10-14,0.011036,0.012898,0.011016,0.012867,0.012867,386163
2023-10-15,0.012867,0.013439,0.012771,0.013269,0.013269,316639
2023-10-16,0.013272,0.013837,0.013114,0.013281,0.013281,141629
2023-10-17,0.013281,0.013281,0.012775,0.012824,0.012824,205545
2023-10-18,0.012824,0.013526,0.012565,0.013162,0.013162,386483
2023-10-19,0.013162,0.016759,0.012751,0.015155,0.015155,395405
2023-10-20,0.015156,0.019392,0.015120,0.019317,0.019317,427693
2023-10-21,0.019317,0.021517,0.018667,0.021421,0.021421,358383
2023-10-22,0.021419,0.022269,0.019647,0.019913,0.019913,296187
2023-10-23,0.020071,0.024973,0.019956,0.024886,0.024886,440071
2023-10-24,0.024886,0.026553,0.024122,0.025823,0.025823,359745
2023-10-25,0.025826,0.027148,0.024561,0.026450,0.026450,303964
2023-10-26,0.026450,0.028652,0.026395,0.027138,0.027138,426183
2023-10-27,0.027142,0.027459,0.026666,0.027359,0.027359,332694
2023-10-28,0.027359,0.027876,0.025484,0.026012,0.026012,297774
2023-10-29,0.026012,0.026076,0.025242,0.025633,0.025633,281781
2023-10-30,0.025634,0.025660,0.020534,0.020562,0.020562,307059
2023-10-31,0.020561,0.020662,0.019057,0.020007,0.020007,332479
2023-11-01,0.020007,0.020405,0.018636,0.018715,0.018715,374200
2023-11-02,0.018715,0.018715,0.014888,0.014937,0.014937,288618
2023-11-03,0.014935,0.021356,0.014663,0.021340,0.021340,508866
2023-11-04,0.021345,0.031117,0.021257,0.030771,0.030771,618781
2023-11-05,0.030773,0.035376,0.030719,0.035154,0.035154,460597
2023-11-06,0.035147,0.035810,0.022100,0.022129,0.022129,338744
2023-11-07,0.022128,0.022174,0.018406,0.020624,0.020624,367031
2023-11-08,0.020624,0.020931,0.016523,0.016911,0.016911,378568
2023-11-09,0.016899,0.022222,0.016854,0.021520,0.021520,402207
2023-11-10,0.021508,0.021556,0.018569,0.019209,0.019209,327957
2023-11-11,0.019208,0.019674,0.017993,0.018061,0.018061,355037
2023-11-12,0.018064,0.018438,0.017973,0.018028,0.018028,365483
2023-11-13,0.018032,0.018319,0.016669,0.016721,0.016721,368192
2023-11-14,0.016712,0.016712,0.015295,0.015367,0.015367,319493
2023-11-15,0.015371,0.017422,0.015337,0.017408,0.017408,323497
2023-11-16,0.017408,0.018656,0.016452,0.017151,0.017151,345114
2023-11-17,0.017141,0.020818,0.017119,0.020812,0.020812,534033
2023-11-18,0.020830,0.022179,0.020760,0.021967,0.021967,364149
2023-11-19,0.021965,0.028638,0.021787,0.028614,0.028614,490888
2023-11-20,0.028608,0.031314,0.027672,0.027918,0.027918,425974
2023-11-21,0.027919,0.028059,0.016894,0.022772,0.022772,598449
2023-11-22,0.022759,0.030900,0.022699,0.028612,0.028612,510287
2023-11-23,0.028611,0.029616,0.024666,0.027542,0.027542,371717
2023-11-24,0.027545,0.028401,0.026572,0.026688,0.026688,317352
2023-11-25,0.026685,0.026808,0.025734,0.025905,0.025905,320265
2023-11-26,0.025906,0.025906,0.023393,0.023675,0.023675,314381
2023-11-27,0.023679,0.023718,0.022576,0.023021,0.023021,364236
2023-11-28,0.023020,0.024320,0.022694,0.024246,0.024246,321945
2023-11-29,0.024237,0.026561,0.023935,0.024062,0.024062,356416
2023-11-30,0.024064,0.026677,0.023635,0.026665,0.026665,391087
2023-12-01,0.026663,0.040470,0.026597,0.039095,0.039095,710012
2023-12-02,0.039093,0.182993,0.039089,0.149646,0.149646,6424649
2023-12-03,0.149656,0.229104,0.128240,0.180469,0.180469,3680092
2023-12-04,0.180705,0.222042,0.107518,0.137993,0.137993,2531771
2023-12-05,0.138009,0.146933,0.111518,0.144212,0.144212,1157351
2023-12-06,0.144174,0.225477,0.142704,0.193083,0.193083,1987861
2023-12-07,0.192899,0.233996,0.186054,0.219255,0.219255,1468835
2023-12-08,0.219261,0.254562,0.203603,0.221970,0.221970,1073589
2023-12-09,0.221965,0.224647,0.177830,0.181973,0.181973,1226180
2023-12-10,0.181977,0.269912,0.176173,0.251041,0.251041,1696622
2023-12-11,0.251637,0.255827,0.200201,0.215610,0.215610,941775
2023-12-12,0.215591,0.217721,0.176810,0.192889,0.192889,597276
2023-12-13,0.192870,0.193809,0.137227,0.184204,0.184204,919313
2023-12-14,0.184195,0.188417,0.155492,0.186064,0.186064,673938
2023-12-15,0.186097,0.195371,0.155898,0.156501,0.156501,566326
2023-12-16,0.156485,0.166209,0.148291,0.165316,0.165316,659480
2023-12-17,0.165399,0.495581,0.160551,0.437956,0.437956,6444630
2023-12-18,0.438064,0.842902,0.392110,0.747247,0.747247,9217526
2023-12-19,0.746970,0.933766,0.602488,0.710325,0.710325,4882922
2023-12-20,0.710292,0.760906,0.577025,0.752646,0.752646,2324595
2023-12-21,0.753240,0.957968,0.714091,0.757215,0.757215,4148741
2023-12-22,0.757335,0.850232,0.693839,0.848848,0.848848,1810249
2023-12-23,0.848779,1.051049,0.779998,1.033062,1.033062,2150166
2023-12-24,1.032830,1.085068,0.881370,0.987424,0.987424,2153642
2023-12-25,0.986836,1.262323,0.964249,1.081249,1.081249,3562941
2023-12-26,1.081327,1.101022,0.706067,0.977037,0.977037,4205675
2023-12-27,0.977092,0.977159,0.747962,0.833312,0.833312,1790885
2023-12-28,0.833025,0.867274,0.657055,0.658471,0.658471,1863555
2023-12-29,0.658539,0.773169,0.658539,0.715354,0.715354,1302075
2023-12-30,0.715400,0.732482,0.669786,0.683272,0.683272,853165
2023-12-31,0.683256,0.769616,0.648111,0.722328,0.722328,1000737
2024-01-01,0.722239,0.765820,0.624099,0.739221,0.739221,1209317
2024-01-02,0.739486,0.749090,0.568802,0.569014,0.569014,1228137
2024-01-03,0.569084,0.655095,0.506270,0.534612,0.534612,1186590
2024-01-04,0.534646,0.584848,0.507090,0.573081,0.573081,904222
2024-01-05,0.573081,0.578558,0.519058,0.537175,0.537175,611913
2024-01-06,0.537175,0.537620,0.411828,0.486512,0.486512,1112375
2024-01-07,0.486512,0.489639,0.411412,0.411412,0.411412,512087
2024-01-08,0.411412,0.451369,0.354399,0.451187,0.451187,1252258
2024-01-09,0.451187,0.451688,0.343137,0.344040,0.344040,1320619
2024-01-10,0.344040,0.483264,0.343265,0.477920,0.477920,1077217
2024-01-11,0.477920,0.540682,0.437824,0.479635,0.479635,1294164
2024-01-12,0.479635,0.480001,0.374830,0.387061,0.387061,725568
2024-01-13,0.387061,0.413849,0.376909,0.387708,0.387708,602313
2024-01-14,0.387708,0.387746,0.353767,0.353826,0.353826,512382
2024-01-15,0.353826,0.398500,0.353121,0.369435,0.369435,744178
2024-01-16,0.369435,0.420493,0.363231,0.389206,0.389206,697606
2024-01-17,0.389206,0.408384,0.361667,0.369885,0.369885,686962
2024-01-18,0.370092,0.372069,0.238873,0.263015,0.263015,2800972
2024-01-19,0.263015,0.322324,0.220127,0.322324,0.322324,1215684
2024-01-20,0.322324,0.323475,0.201884,0.221878,0.221878,1261725
2024-01-21,0.221878,0.240816,0.201350,0.232039,0.232039,638268
2024-01-22,0.232039,0.232040,0.135574,0.140423,0.140423,1046305
2024-01-23,0.140423,0.155342,0.140282,0.153184,0.153184,515841
2024-01-24,0.153184,0.206627,0.152647,0.194853,0.194853,965456
2024-01-25,0.194853,0.226020,0.194852,0.226020,0.226020,654800
2024-01-26,0.226020,0.235094,0.206204,0.217061,0.217061,551793
2024-01-27,0.217061,0.218076,0.211304,0.212105,0.212105,360062
2024-01-28,0.212105,0.245873,0.211952,0.243875,0.243875,513209
2024-01-29,0.243875,0.264408,0.219942,0.264408,0.264408,593841
2024-01-30,0.264408,0.294186,0.217179,0.217235,0.217235,1053078
2024-01-31,0.217235,0.218954,0.196685,0.203784,0.203784,436867
2024-02-01,0.203784,0.203784,0.162136,0.163138,0.163138,579282
2024-02-02,0.163138,0.174622,0.159432,0.166633,0.166633,501513
2024-02-03,0.166633,0.190773,0.166609,0.178659,0.178659,471440
2024-02-04,0.178659,0.191868,0.177442,0.177442,0.177442,458229
2024-02-05,0.177442,0.185866,0.165214,0.167261,0.167261,434171
2024-02-06,0.167261,0.173450,0.152672,0.159503,0.159503,710363
2024-02-07,0.159503,0.166430,0.152329,0.163189,0.163189,409533
2024-02-08,0.163189,0.178627,0.149338,0.161852,0.161852,571733
2024-02-09,0.161852,0.177085,0.161051,0.174310,0.174310,485533
2024-02-10,0.174310,0.215625,0.174224,0.210849,0.210849,592159
2024-02-11,0.210849,0.213105,0.185952,0.185977,0.185977,414043
2024-02-12,0.185977,0.260342,0.184709,0.258231,0.258231,682559
2024-02-13,0.258231,0.321523,0.249339,0.311184,0.311184,721394
2024-02-14,0.311184,0.358016,0.276444,0.349952,0.349952,1059778
2024-02-15,0.349952,0.414454,0.349770,0.365833,0.365833,1070040
2024-02-16,0.365833,0.370757,0.296158,0.314838,0.314838,842977
2024-02-17,0.314838,0.314839,0.268532,0.269239,0.269239,533379
2024-02-18,0.269239,0.314971,0.264848,0.313825,0.313825,647387
2024-02-19,0.313825,0.342053,0.313158,0.334535,0.334535,489349
2024-02-20,0.334535,0.365109,0.309033,0.365060,0.365060,681013
2024-02-21,0.365060,0.384522,0.303999,0.356861,0.356861,852057
2024-02-22,0.356861,0.401805,0.340006,0.377690,0.377690,668758
2024-02-23,0.377690,0.494302,0.365898,0.467922,0.467922,951711
2024-02-24,0.467922,0.470098,0.410407,0.414581,0.414581,570179
2024-02-25,0.414581,0.498182,0.413801,0.455077,0.455077,640094
2024-02-26,0.455077,0.489854,0.410952,0.486037,0.486037,770000
2024-02-27,0.486037,0.507808,0.370697,0.472769,0.472769,1328120
2024-02-28,0.471946,0.523164,0.416982,0.492046,0.492046,1108426
2024-02-29,0.492046,0.517822,0.422838,0.425491,0.425491,541709
2024-03-01,0.425491,0.454153,0.425421,0.441534,0.441534,674501
2024-03-02,0.441534,0.718044,0.441534,0.603628,0.603628,2958810
2024-03-03,0.603628,0.776026,0.584052,0.763345,0.763345,2800108
2024-03-04,0.765201,1.057177,0.763000,0.794942,0.794942,4001322
2024-03-05,0.794942,1.054274,0.694583,0.958923,0.958923,3306474
2024-03-06,0.958923,1.039770,0.914882,1.014817,1.014817,2188866
2024-03-07,1.014817,1.250203,1.014817,1.178459,1.178459,2976408
2024-03-08,1.186529,1.294543,1.124483,1.223398,1.223398,2761844
2024-03-09,1.223398,1.350161,1.221446,1.236799,1.236799,1472226
2024-03-10,1.236799,1.292025,1.077604,1.238839,1.238839,2233848
2024-03-11,1.238839,1.556148,1.238839,1.395407,1.395407,1896437
2024-03-12,1.395407,1.582547,1.192559,1.513371,1.513371,3107270
2024-03-13,1.513371,1.926160,1.438646,1.788303,1.788303,5811607
2024-03-14,1.788303,1.992974,1.575848,1.723815,1.723815,3483433
2024-03-15,1.723815,1.738414,1.438820,1.575502,1.575502,1987706
